# $Id: steel_magfieldmap.dat,v 1.1 2007/08/24 14:52:43 fisyak Exp $
# $Log: steel_magfieldmap.dat,v $
# Revision 1.1  2007/08/24 14:52:43  fisyak
# Add mag. field map in steel
#
#Magentic field map was calculated by Wuzheng Meng from CAD.
#This calculation was done in the 3D OPERA frame.
#The magnetic steel and coils were in the simulation. 
#z 0-150 cm, phi 0-12 degree,r 222-440cm.
#115 r bin from 222-440cm
#16 z bin  from 0 to 150 cm.
#25 phi bin from 0 to 12 degree. 
#Please note br(phi)=br(phi+12*N),  bphi(phi)=bphi(phi+12*N),  bz(phi)=bz(phi+12*N);
# r     z   phi    bx        bz   by
---------------------------------------------------------< start of table
267    90    0    -27.6421    4964.73    -0.000676232
267    100    0    224.424    4896.31    -0.00370384
267    110    0    532.519    4615.48    -0.00385759
267    120    0    -152.854    4326.16    -0.000963644
267    130    0    -461.097    4740.61    0.0035277
267    140    0    -186.9    4940.08    0.00925332
267    150    0    59.7699    4973.76    0.0182588
268    0    0    7.82982e-16    3964.78    -7.51107e-17
268    10    0    -813.984    4270.99    0.00866255
268    20    0    -431.544    4614.64    0.0109419
268    30    0    -150.554    4729.63    0.0120823
268    40    0    120.804    4706.11    0.0116789
268    50    0    437.088    4506.82    0.0104422
268    60    0    -28.1907    4194.95    0.00867875
268    70    0    -613.41    4494.41    0.00638174
268    80    0    -290.911    4736.44    0.00360375
268    90    0    -27.3378    4797.42    0.000615686
268    100    0    237.709    4730.69    -0.00185165
268    110    0    576.208    4469.23    -0.00183308
268    120    0    -164.275    4230.02    9.05868e-05
268    130    0    -492.218    4581.93    0.00388005
268    140    0    -196.069    4773.36    0.00987657
268    150    0    62.3065    4806.28    0.019257
269    0    0    6.75419e-16    3871.26    -4.87241e-17
269    10    0    -858.977    4137.27    0.00812741
269    20    0    -449.343    4453.06    0.0109754
269    30    0    -154.122    4564.65    0.0129491
269    40    0    129.571    4542.16    0.0131964
269    50    0    467.718    4355.49    0.0122041
269    60    0    -25.9941    4093.03    0.0097762
269    70    0    -648.045    4346.21    0.00675062
269    80    0    -302.614    4572.11    0.00415809
269    90    0    -27.0478    4631.21    0.00167865
269    100    0    250.432    4566.7    -0.000296861
269    110    0    613.001    4326.28    -0.000158624
269    120    0    -174.309    4126.61    0.000956135
269    130    0    -520.742    4426.58    0.00416525
269    140    0    -204.931    4607.99    0.0103888
269    150    0    64.7497    4639.92    0.0200789
270    0    0    5.46214e-16    3772.63    -2.80253e-17
270    10    0    -896.973    4004.53    0.00749333
270    20    0    -466.276    4293.3    0.0109622
270    30    0    -157.569    4400.82    0.0136293
270    40    0    137.911    4379.62    0.0143893
