STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the REVERSED direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
 104.5 -120.0    -1.48 -4983.50
 119.5 -120.0    -1.90 -4984.46
 124.5 -120.0    -2.08 -4985.10
 139.5 -120.0    -2.74 -4986.70
 144.5 -120.0    -2.95 -4987.71
 159.5 -120.0    -4.07 -4990.11
 164.5 -120.0    -4.51 -4991.69
 179.5 -120.0    -6.30 -4995.50
 184.5 -120.0    -6.65 -4997.16
 199.5 -120.0    -9.17 -5001.49
 202.0 -120.0    -9.33 -5002.75
 209.5 -120.0   -10.91 -5004.99
 212.0 -120.0   -11.14 -5006.32
 219.5 -120.0   -13.19 -5008.03
 222.0 -120.0   -13.25 -5009.83
  14.5 -110.0    -0.15 -4981.66
  17.0 -110.0    -0.10 -4981.63
  24.5 -110.0    -0.31 -4981.53
  27.0 -110.0    -0.18 -4981.54
  34.5 -110.0    -0.42 -4981.63
  37.0 -110.0    -0.33 -4981.47
  44.5 -110.0    -0.57 -4981.69
  47.0 -110.0    -0.46 -4981.71
  59.5 -110.0    -0.80 -4981.86
  64.5 -110.0    -0.84 -4981.91
  79.5 -110.0    -1.31 -4982.22
  84.5 -110.0    -1.35 -4982.43
  99.5 -110.0    -2.01 -4982.94
 104.5 -110.0    -2.07 -4983.23
 119.5 -110.0    -2.84 -4984.03
 124.5 -110.0    -2.99 -4984.67
 139.5 -110.0    -4.16 -4985.99
 144.5 -110.0    -4.37 -4986.93
 159.5 -110.0    -6.13 -4988.96
 164.5 -110.0    -6.58 -4990.36
 179.5 -110.0    -9.08 -4993.55
 184.5 -110.0    -9.49 -4995.20
 199.5 -110.0   -12.53 -4998.99
 202.0 -110.0   -12.58 -5000.28
 209.5 -110.0   -14.16 -5002.44
 212.0 -110.0   -14.00 -5003.87
 219.5 -110.0   -15.02 -5005.97
 222.0 -110.0   -14.08 -5007.91
  14.5 -100.0    -0.21 -4981.39
  17.0 -100.0    -0.22 -4981.40
  24.5 -100.0    -0.38 -4981.37
  27.0 -100.0    -0.33 -4981.31
  34.5 -100.0    -0.52 -4981.39
  37.0 -100.0    -0.51 -4981.32
  44.5 -100.0    -0.69 -4981.45
  47.0 -100.0    -0.69 -4981.39
  59.5 -100.0    -1.01 -4981.55
  64.5 -100.0    -1.12 -4981.65
  79.5 -100.0    -1.60 -4981.89
  84.5 -100.0    -1.74 -4982.00
  99.5 -100.0    -2.43 -4982.43
 104.5 -100.0    -2.65 -4982.68
 119.5 -100.0    -3.56 -4983.40
 124.5 -100.0    -3.88 -4983.83
 139.5 -100.0    -5.27 -4984.94
 144.5 -100.0    -5.73 -4985.66
 159.5 -100.0    -7.79 -4987.42
 164.5 -100.0    -8.46 -4988.49
 179.5 -100.0   -11.42 -4991.13
 184.5 -100.0   -12.14 -4992.60
 199.5 -100.0   -15.70 -4996.10
 202.0 -100.0   -15.97 -4997.31
 209.5 -100.0   -17.78 -4999.79
 212.0 -100.0   -17.80 -5001.34
 219.5 -100.0   -19.05 -5005.06
 222.0 -100.0   -18.13 -5007.57
  14.5  -90.0    -0.19 -4981.22
  17.0  -90.0    -0.28 -4981.23
  24.5  -90.0    -0.36 -4981.17
  27.0  -90.0    -0.43 -4981.13
  34.5  -90.0    -0.53 -4981.14
  37.0  -90.0    -0.62 -4981.12
  44.5  -90.0    -0.73 -4981.15
  47.0  -90.0    -0.81 -4981.15
  59.5  -90.0    -1.09 -4981.20
  64.5  -90.0    -1.28 -4981.32
  79.5  -90.0    -1.73 -4981.37
  84.5  -90.0    -1.97 -4981.55
  99.5  -90.0    -2.64 -4981.75
 104.5  -90.0    -2.99 -4982.00
 119.5  -90.0    -3.93 -4982.40
 124.5  -90.0    -4.38 -4982.81
 139.5  -90.0    -5.86 -4983.51
 144.5  -90.0    -6.48 -4984.12
 159.5  -90.0    -8.72 -4985.30
 164.5  -90.0    -9.59 -4986.27
 179.5  -90.0   -12.90 -4988.14
 184.5  -90.0   -13.93 -4989.51
 199.5  -90.0   -18.24 -4992.29
 202.0  -90.0   -18.88 -4993.52
 209.5  -90.0   -21.55 -4995.91
 212.0  -90.0   -22.17 -4997.55
 219.5  -90.0   -25.41 -5001.79
 222.0  -90.0   -25.72 -5004.84
  14.5  -80.0    -0.17 -4980.99
  17.0  -80.0    -0.34 -4981.01
  24.5  -80.0    -0.35 -4980.93
  27.0  -80.0    -0.52 -4980.90
  34.5  -80.0    -0.53 -4980.87
  37.0  -80.0    -0.72 -4980.83
  44.5  -80.0    -0.76 -4980.86
  47.0  -80.0    -0.93 -4980.82
  59.5  -80.0    -1.16 -4980.85
  64.5  -80.0    -1.44 -4980.88
  79.5  -80.0    -1.85 -4980.88
  84.5  -80.0    -2.20 -4980.93
  99.5  -80.0    -2.86 -4981.04
 104.5  -80.0    -3.33 -4981.12
 119.5  -80.0    -4.29 -4981.37
 124.5  -80.0    -4.88 -4981.54
 139.5  -80.0    -6.45 -4981.96
 144.5  -80.0    -7.23 -4982.30
 159.5  -80.0    -9.65 -4983.07
 164.5  -80.0   -10.71 -4983.61
 179.5  -80.0   -14.37 -4984.91
 184.5  -80.0   -15.72 -4985.76
 199.5  -80.0   -20.78 -4987.68
 202.0  -80.0   -21.78 -4988.55
 209.5  -80.0   -25.31 -4990.33
 212.0  -80.0   -26.54 -4991.55
 219.5  -80.0   -31.77 -4994.69
 222.0  -80.0   -33.32 -4997.06
  14.5  -70.0    -0.23 -4980.73
  17.0  -70.0    -0.31 -4980.74
  24.5  -70.0    -0.41 -4980.65
  27.0  -70.0    -0.49 -4980.60
  34.5  -70.0    -0.61 -4980.57
  37.0  -70.0    -0.69 -4980.53
  44.5  -70.0    -0.84 -4980.49
  47.0  -70.0    -0.92 -4980.48
  59.5  -70.0    -1.26 -4980.39
  64.5  -70.0    -1.43 -4980.44
  79.5  -70.0    -1.98 -4980.24
  84.5  -70.0    -2.22 -4980.32
  99.5  -70.0    -3.02 -4980.15
 104.5  -70.0    -3.41 -4980.26
 119.5  -70.0    -4.53 -4980.10
 124.5  -70.0    -5.04 -4980.27
 139.5  -70.0    -6.81 -4980.13
 144.5  -70.0    -7.52 -4980.42
 159.5  -70.0   -10.21 -4980.39
 164.5  -70.0   -11.25 -4980.87
 179.5  -70.0   -15.30 -4981.08
 184.5  -70.0   -16.72 -4981.79
 199.5  -70.0   -22.39 -4982.13
 202.0  -70.0   -23.44 -4982.83
 209.5  -70.0   -27.50 -4983.28
 212.0  -70.0   -28.81 -4984.09
 219.5  -70.0   -34.72 -4984.75
 222.0  -70.0   -36.51 -4986.13
  14.5  -60.0    -0.20 -4980.46
  17.0  -60.0    -0.33 -4980.48
  24.5  -60.0    -0.37 -4980.37
  27.0  -60.0    -0.52 -4980.31
  34.5  -60.0    -0.56 -4980.25
  37.0  -60.0    -0.73 -4980.20
  44.5  -60.0    -0.80 -4980.17
  47.0  -60.0    -0.95 -4980.10
  59.5  -60.0    -1.20 -4979.98
  64.5  -60.0    -1.46 -4979.94
  79.5  -60.0    -1.90 -4979.69
  84.5  -60.0    -2.23 -4979.63
  99.5  -60.0    -2.96 -4979.37
 104.5  -60.0    -3.40 -4979.29
 119.5  -60.0    -4.44 -4978.94
 124.5  -60.0    -5.04 -4978.87
 139.5  -60.0    -6.71 -4978.42
 144.5  -60.0    -7.53 -4978.37
 159.5  -60.0   -10.16 -4977.83
 164.5  -60.0   -11.33 -4977.86
 179.5  -60.0   -15.37 -4977.26
 184.5  -60.0   -16.96 -4977.37
 199.5  -60.0   -22.67 -4976.43
 202.0  -60.0   -23.83 -4976.68
