       Tpc     E23C1      9.824 +/-    0.010     56.276 +/-    0.010      0.743 +/-    0.010 
       Tpc     E23C2     15.573 +/-    0.010     88.861 +/-    0.010      0.743 +/-    0.010 
       Tpc     E23C3     21.335 +/-    0.010    121.521 +/-    0.010      0.741 +/-    0.010 
       Tpc     E23C4     27.051 +/-    0.010    154.023 +/-    0.010      0.742 +/-    0.010 
       Tpc     E23C5     32.827 +/-    0.010    186.895 +/-    0.010      0.757 +/-    0.010 
       Tpc     E24A1     -0.082 +/-    0.010     57.419 +/-    0.010      0.753 +/-    0.010 
       Tpc     E24A2     -0.141 +/-    0.010     90.132 +/-    0.010      0.756 +/-    0.010 
       Tpc     E24A3     -0.182 +/-    0.010    123.226 +/-    0.010      0.761 +/-    0.010 
       Tpc     E24A4     -0.211 +/-    0.010    156.167 +/-    0.010      0.767 +/-    0.010 
       Tpc     E24A5     -0.238 +/-    0.010    189.336 +/-    0.010      0.797 +/-    0.010 
       Tpc     E24B1    -10.003 +/-    0.010     55.880 +/-    0.010      0.755 +/-    0.010 
       Tpc     E24B2    -15.732 +/-    0.010     88.337 +/-    0.010      0.758 +/-    0.010 
       Tpc     E24B3    -21.527 +/-    0.010    121.193 +/-    0.010      0.759 +/-    0.010 
       Tpc     E24B4    -27.306 +/-    0.010    153.816 +/-    0.010      0.783 +/-    0.010 
       Tpc     E24B5    -33.106 +/-    0.010    186.535 +/-    0.010      0.797 +/-    0.010 
       Tpc     E24C1    -19.703 +/-    0.010     53.413 +/-    0.010      0.758 +/-    0.010 
       Tpc     E24C2    -31.054 +/-    0.010     84.623 +/-    0.010      0.769 +/-    0.010 
       Tpc     E24C3    -42.479 +/-    0.010    116.050 +/-    0.010      0.785 +/-    0.010 
       Tpc     E24C4    -53.897 +/-    0.010    147.397 +/-    0.010      0.782 +/-    0.010 
       Tpc     E24C5    -65.284 +/-    0.010    178.678 +/-    0.010      0.815 +/-    0.010 
       Tpc     EAO13    -27.644 +/-    0.010     46.841 +/-    0.010   -230.718 +/-    0.010 
       Tpc     EAO14    -47.609 +/-    0.010     26.865 +/-    0.010   -230.708 +/-    0.010 
       Tpc     EAO15    -54.902 +/-    0.010     -0.408 +/-    0.010   -230.719 +/-    0.010 
       Tpc     EAO16    -47.569 +/-    0.010    -27.686 +/-    0.010   -230.737 +/-    0.010 
       Tpc     EAO17    -27.600 +/-    0.010    -47.645 +/-    0.010   -230.752 +/-    0.010 
       Tpc     EAO18     -0.307 +/-    0.010    -54.941 +/-    0.010   -230.765 +/-    0.010 
       Tpc     EAO19     26.968 +/-    0.010    -47.621 +/-    0.010   -230.762 +/-    0.010 
       Tpc     EAO20     46.929 +/-    0.010    -27.647 +/-    0.010   -230.762 +/-    0.010 
       Tpc     EAO21     54.227 +/-    0.010     -0.357 +/-    0.010   -230.765 +/-    0.010 
       Tpc     EAO22     46.903 +/-    0.010     26.921 +/-    0.010   -230.757 +/-    0.010 
       Tpc     EAO23     26.921 +/-    0.010     46.870 +/-    0.010   -230.744 +/-    0.010 
       Tpc     EAO24     -0.362 +/-    0.010     54.164 +/-    0.010   -230.731 +/-    0.010 
       Tpc    EAOCTR     -0.335 +/-    0.010     -0.387 +/-    0.010   -230.743 +/-    0.010 
       Tpc     EBO13    -59.771 +/-    0.010    102.432 +/-    0.010   -230.696 +/-    0.010 
       Tpc     EBO14   -103.232 +/-    0.010     58.946 +/-    0.010   -230.666 +/-    0.010 
       Tpc     EBO15   -119.102 +/-    0.010     -0.441 +/-    0.010   -230.682 +/-    0.010 
       Tpc     EBO16   -103.190 +/-    0.010    -59.817 +/-    0.010   -230.673 +/-    0.010 
       Tpc     EBO17    -59.667 +/-    0.010   -103.264 +/-    0.010   -230.750 +/-    0.010 
       Tpc     EBO18     -0.279 +/-    0.010   -119.134 +/-    0.010   -230.773 +/-    0.010 
       Tpc     EBO20    102.551 +/-    0.010    -59.725 +/-    0.010   -230.785 +/-    0.010 
       Tpc     EBO21    118.425 +/-    0.010     -0.331 +/-    0.010   -230.782 +/-    0.010 
       Tpc     EBO22    102.493 +/-    0.010     59.036 +/-    0.010   -230.770 +/-    0.010 
       Tpc     EBO23     59.001 +/-    0.010    102.478 +/-    0.010   -230.749 +/-    0.010 
       Tpc     EBO24     -0.391 +/-    0.010    118.343 +/-    0.010   -230.713 +/-    0.010 
       Tpc    EBOCTR     -0.334 +/-    0.010     -0.392 +/-    0.010   -230.741 +/-    0.010 
       Tpc    ED13A4    -89.312 +/-    0.010    122.356 +/-    0.010      0.819 +/-    0.010 
       Tpc    ED13A5    -72.858 +/-    0.010    150.787 +/-    0.010      0.801 +/-    0.010 
       Tpc    ED13C3   -105.857 +/-    0.010     93.769 +/-    0.010      0.817 +/-    0.010 
       Tpc    ED14A3   -120.677 +/-    0.010     68.155 +/-    0.010      0.821 +/-    0.010 
       Tpc    ED14B3   -135.534 +/-    0.010     42.484 +/-    0.010      0.816 +/-    0.010 
       Tpc    ED17A1    -28.206 +/-    0.010    -49.689 +/-    0.010      0.739 +/-    0.010 
       Tpc    ED17A3    -69.702 +/-    0.010   -120.354 +/-    0.010      0.751 +/-    0.010 
       Tpc    ED17C4    -15.341 +/-    0.010   -151.766 +/-    0.010      0.721 +/-    0.010 
       Tpc    ED18B1     11.589 +/-    0.010    -72.648 +/-    0.010      0.746 +/-    0.010 
       Tpc    ED18B5     41.747 +/-    0.010   -184.706 +/-    0.010      0.687 +/-    0.010 
       Tpc    ED18C1     25.450 +/-    0.010    -69.151 +/-    0.010      0.723 +/-    0.010 
       Tpc    ED18C5     55.280 +/-    0.010   -181.216 +/-    0.010      0.669 +/-    0.010 
       Tpc    ED19A4     71.747 +/-    0.010   -152.849 +/-    0.010      0.675 +/-    0.010 
       Tpc    ED19B4     88.225 +/-    0.010   -124.435 +/-    0.010      0.685 +/-    0.010 
       Tpc    ED19C1     48.482 +/-    0.010    -29.239 +/-    0.010      0.713 +/-    0.010 
       Tpc    ED19C3    104.786 +/-    0.010    -95.869 +/-    0.010      0.675 +/-    0.010 
       Tpc    ED20A3    119.601 +/-    0.010    -70.330 +/-    0.010      0.675 +/-    0.010 
       Tpc    ED20B3    134.459 +/-    0.010    -44.684 +/-    0.010      0.699 +/-    0.010 
       Tpc    ED21B5    180.729 +/-    0.010     55.038 +/-    0.010      0.676 +/-    0.010 
       Tpc    ED22A5    152.114 +/-    0.010     71.590 +/-    0.010      0.675 +/-    0.010 
       Tpc    ED22B4    123.616 +/-    0.010     88.090 +/-    0.010      0.716 +/-    0.010 
       Tpc    ED22C3     94.769 +/-    0.010    104.740 +/-    0.010      0.716 +/-    0.010 
       Tpc    ED23A3     69.082 +/-    0.010    119.567 +/-    0.010      0.715 +/-    0.010 
       Tpc    ED23B1     28.497 +/-    0.010     48.078 +/-    0.010      0.738 +/-    0.010 
       Tpc    ED23B3     43.446 +/-    0.010    134.380 +/-    0.010      0.739 +/-    0.010 
       Tpc    ED23C4     14.552 +/-    0.010    151.067 +/-    0.010      0.765 +/-    0.010 
       Tpc    ED24B1    -11.205 +/-    0.010     71.069 +/-    0.010      0.770 +/-    0.010 
       Tpc    ED24B5    -42.757 +/-    0.010    183.970 +/-    0.010      0.796 +/-    0.010 
       Tpc    ED24C1    -26.289 +/-    0.010     67.037 +/-    0.010      0.768 +/-    0.010 
       Tpc    ED24C5    -56.385 +/-    0.010    179.247 +/-    0.010      0.793 +/-    0.010 
       Tpc     EDO13    -95.711 +/-    0.010    164.613 +/-    0.010   -230.625 +/-    0.010 
       Tpc     EDO16   -165.362 +/-    0.010    -95.745 +/-    0.010   -230.673 +/-    0.010 
       Tpc     EDO17    -95.566 +/-    0.010   -165.475 +/-    0.010   -230.692 +/-    0.010 
       Tpc     EDO19     95.028 +/-    0.010   -165.389 +/-    0.010   -230.786 +/-    0.010 
