MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4907 +/- 0.0030 (cm) beta =   -0.0370 +/- 0.0072 (mrad) alpha =   -0.2026 +/- 0.0197 (mrad) gamma -1131.6986  chi2/ndf    24.36/  5
TpcW11B32004	xyz =   -1.269  -45.647   -0.137 z =   -0.1384 +/- 0.0003 (cm) beta =   -0.4240 +/- 0.0040 (mrad) alpha =   -0.0005 +/- 0.0026 (mrad) gamma -979.0360  chi2/ndf  1605.03/ 94
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =   -0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =   -0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =   -0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6864 +/- 0.0005 (cm) beta =   -0.5620 +/- 0.0106 (mrad) alpha =    0.0212 +/- 0.0077 (mrad) gamma -416.8880  chi2/ndf   941.88/ 29
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6864 +/- 0.0005 (cm) beta =   -0.5620 +/- 0.0106 (mrad) alpha =    0.0212 +/- 0.0077 (mrad) gamma -416.8880  chi2/ndf   941.88/ 29
TpcEAO132004	xyz =   -2.091    3.314 -231.686 z = -231.6861 +/- 0.0007 (cm) beta =   -0.5416 +/- 0.0095 (mrad) alpha =    0.0150 +/- 0.0076 (mrad) gamma -226.2715  chi2/ndf   517.28/ 27
TpcWAO22004	xyz =    8.291   -7.247  231.272 z =  231.2693 +/- 0.0046 (cm) beta =   -0.4473 +/- 0.0539 (mrad) alpha =    0.1855 +/- 0.0514 (mrad) gamma -261.8677  chi2/ndf    17.24/ 27
TpcWAO22004	xyz =   28.388  -31.365  231.275 z =  231.2709 +/- 0.0062 (cm) beta =   -0.3922 +/- 0.0693 (mrad) alpha =    0.2148 +/- 0.0656 (mrad) gamma -1003.0714  chi2/ndf     8.37/ 20
TpcEAO132004	xyz =   -2.091    3.314 -231.686 z = -231.6866 +/- 0.0007 (cm) beta =   -0.5504 +/- 0.0097 (mrad) alpha =    0.0064 +/- 0.0078 (mrad) gamma -226.2715  chi2/ndf   487.38/ 26
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4907 +/- 0.0030 (cm) beta =   -0.0370 +/- 0.0072 (mrad) alpha =   -0.2026 +/- 0.0197 (mrad) gamma -1131.6986  chi2/ndf    24.36/  5
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4907 +/- 0.0030 (cm) beta =   -0.0370 +/- 0.0072 (mrad) alpha =   -0.2026 +/- 0.0197 (mrad) gamma -1131.6986  chi2/ndf    24.36/  5
MagnetWCL12003	xyz =  -22.753  -91.739  362.674 z =  362.5471 +/- 0.0023 (cm) beta =   -0.0374 +/- 0.0062 (mrad) alpha =    0.0915 +/- 0.0126 (mrad) chi2/ndf  3310.66/ 11
MagnetWCL12004	xyz =  -22.753  -91.739  362.674 z =  362.5470 +/- 0.0022 (cm) beta =   -0.0415 +/- 0.0061 (mrad) alpha =    0.0918 +/- 0.0123 (mrad) chi2/ndf  3411.13/ 11
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4972 +/- 0.0026 (cm) beta =   -0.0533 +/- 0.0062 (mrad) alpha =   -0.1738 +/- 0.0186 (mrad) chi2/ndf    44.12/  6
MagnetWF12003	xyz =  -48.246  -76.166  362.511 z =  362.5027 +/- 0.0030 (cm) beta =   -0.0441 +/- 0.0068 (mrad) alpha =   -0.1517 +/- 0.0199 (mrad) chi2/ndf    27.01/  5
MagnetEF12003	xyz =    3.756 -107.567 -362.567 z = -362.5545 +/- 0.0647 (cm) beta =   -0.0678 +/- 0.1221 (mrad) alpha =    0.1228 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetEF12004	xyz =    3.756 -107.568 -362.568 z = -362.5550 +/- 0.0647 (cm) beta =   -0.0676 +/- 0.1221 (mrad) alpha =    0.1188 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetWF12003	xyz =  -48.268  -76.156  362.536 z =  362.5286 +/- 0.0030 (cm) beta =   -0.1045 +/- 0.0068 (mrad) alpha =   -0.1792 +/- 0.0199 (mrad) chi2/ndf    27.01/  5
MagnetEF12003	xyz =    3.778 -107.577 -362.538 z = -362.5287 +/- 0.0647 (cm) beta =   -0.1282 +/- 0.1221 (mrad) alpha =    0.0953 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetWF12003	xyz =  -48.224  -76.176  362.538 z =  362.5286 +/- 0.0030 (cm) beta =    0.0163 +/- 0.0068 (mrad) alpha =   -0.1242 +/- 0.0199 (mrad) chi2/ndf    27.01/  5
MagnetEF12003	xyz =    3.734 -107.557 -362.545 z = -362.5286 +/- 0.0647 (cm) beta =   -0.0074 +/- 0.1221 (mrad) alpha =    0.1503 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetWF12004	xyz =  -48.224  -76.176  362.538 z =  362.5231 +/- 0.0026 (cm) beta =    0.0071 +/- 0.0062 (mrad) alpha =   -0.1463 +/- 0.0186 (mrad) chi2/ndf    44.12/  6
MagnetEF12004	xyz =    3.734 -107.558 -362.545 z = -362.5291 +/- 0.0647 (cm) beta =   -0.0072 +/- 0.1221 (mrad) alpha =    0.1463 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
TpcW11B32004	xyz =   -1.269  -45.647   -0.112 z =   -0.1125 +/- 0.0003 (cm) beta =   -0.3636 +/- 0.0040 (mrad) alpha =    0.0270 +/- 0.0026 (mrad) chi2/ndf  1605.03/ 94
