#ZVView-data-copy:  17-Jun-2013 17:15:49
#=======================================
#
#name:   2-HE-3(N,P)1-H-3,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  61
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
   8.82299e-10      28469.3
   9.72643e-10      27114.9
    1.07203e-9      25827.4
     1.1818e-9      24598.6
    1.30256e-9      23430.6
    1.43594e-9      22315.9
    1.58267e-9      21256.3
    1.74474e-9        20245
    1.92302e-9      19283.7
    2.11993e-9      18366.3
    2.33655e-9      17494.2
    2.57581e-9      16661.9
    2.83901e-9      15870.7
    3.12972e-9      15115.6
    3.44953e-9      14397.9
    3.80275e-9      13712.9
    4.19133e-9      13061.7
     4.6205e-9      12440.3
    5.09264e-9      11849.6
    5.61412e-9      11285.8
    6.18779e-9      10749.9
     6.8214e-9      10238.4
    7.51843e-9      9752.26
     8.2883e-9      9288.27
    9.13523e-9       8847.2
    1.00706e-8      8426.26
    1.10997e-8      8026.13
    1.22363e-8      7644.25
    1.34866e-8      7281.24
    1.48676e-8      6934.79
    1.63868e-8      6605.47
    1.80648e-8      6291.17
    1.99107e-8      5992.41
    2.19495e-8      5707.27
    2.41924e-8      5436.23
    2.50875e-8      5338.35
       2.53e-8      5315.88
    2.78906e-8      5062.93
    3.07406e-8      4822.48
    3.38884e-8         4593
    3.73512e-8      4374.87
    4.11758e-8      4166.68
    4.53833e-8      3968.78
    5.00305e-8      3779.91
    5.51428e-8      3600.38
    6.07892e-8      3429.03
    6.70009e-8      3266.16
    7.38616e-8      3110.71
     8.1409e-8      2962.94
     8.9745e-8      2821.91
    9.89155e-8      2687.85
    1.09044e-7       2559.9
    1.20187e-7      2438.28
    1.32493e-7       2322.2
    1.46032e-7      2211.86
    1.60985e-7      2106.55
    1.77435e-7      2006.45
    1.95604e-7      1910.93
    2.15592e-7      1820.13
    2.37668e-7       1733.5
    2.61954e-7      1651.16
    2.88777e-7      1572.61
    3.18285e-7      1497.97
    3.50877e-7      1426.76
     3.8673e-7      1359.06
