Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
4060041	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060055	Good	Good	Good 	Good 	Good	 	Good Good 	
4060056	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060058	Good	Good	Good 	Good 	Good	 	Good Good 	
4060059	Good	Good	Good 	Good 	Good	 	Good Good 	
4060064	Good	Good	Good 	Good 	Good	 	Good Good 	
4060067	Good	Good	Good 	Good 	Good	 	Good Good 	
4060068	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060074	Good	Good	Good 	Good 	Good	 	Good Good 	
4060078	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060086	Good	Good	Good 	Good 	Good	 	Good Good 	
4060087	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060088	Good	Good	Good 	Good 	Good	 	Good Good 	
**4060091	Good	Good	Good 	Good 	Good	 	Good Good 	
4060092	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060093	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060094	Good	Good	Good 	Good 	Good	 	Good Good 	
4061001	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4061003	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4061004	Good	Good	Good 	Good 	Good	 	Good Good 	
4061007	Good	Good	Good 	Good 	Good	 	Good Good 	
4061008	Good	Good	Good 	Good 	Good	 	Good Good 	
4061016	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4061019	Good	Good	Good 	Good 	Good	 	Good Good 	
4061020	Good	Good	Good 	Good 	Good	 	Good Good 	
4061023	Good	Good	Good 	Good 	Good	 	Good Good 	
4061024	Good	Good	Good 	Good 	Good	 	Good Good 	
4061025	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4061032	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4062007	Good	Good	Good 	Good 	Good	 	Good Good 	
4062010	Good	Good	Good 	Good 	Good	 	Good Good 	
4062011	Good	Good	Good 	Good 	Good	 	Good Good 	
4062012	Good	Good	Good 	Good 	Bad	 	Good Good 	
4062058	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4062059	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4062060	Good	Good	Good 	Good 	Good	 	Good Good 	
4062061	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4062062	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4062063	Good	Good	Good 	Good 	Good	 	Good Good 	
**4063040	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4063041	Good	Good	Good 	Good 	Good	 	Good Good 	
4063043	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4063045	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4063046	Good	Good	Good 	Good 	Good	 	Good Good 	
4063047	Good	Good	Good 	Good 	Good	 	Good Good 	
4065002	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065003	Good	Good	Good 	Good 	Good	 	Good Good 	
4065004	Good	Good	Good 	Good 	Good	 	Good Good 	
4065005	Good	Good	Good 	Good 	Good	 	Good Good 	
4065010	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065011	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065012	Good	Good	Good 	Good 	Good	 	Good Good 	
4065016	Good	Good	Good 	Good 	Good	 	Good Good 	
4065017	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065018	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065019	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065020	Good	Good	Good 	Good 	Good	 	Good Good 	
4065049	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065052	Good	Good	Good 	Good 	Good	 	Good Good 	
4065063	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4065065	Good	Good	Good 	Good 	Good	 	Good Good 	
4065066	Good	Good	Good 	Good 	Good	 	Good Good 	
4065068	Good	Good	Good 	Good 	Good	 	Good Good 	
4065069	Good	Good	Good 	Good 	Good	 	Good Good 	
4066002	Good	Good	Good 	Good 	Good	 	Good Good 	
4066003	Good	Good	Good 	Good 	Good	 	Good Good 	
4066009	Good	Good	Good 	Good 	Good	 	Good Good 	
4066010	Good	Good	Good 	Good 	Good	 	Good Good 	
4066011	Good	Good	Good 	Good 	Good	 	Good Good 	
4066012	Good	Good	Good 	Good 	Good	 	Good Good 	
4066013	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4066014	Good	Good	Good 	Good 	Good	 	Good Good 	
4066016	Good	Good	Good 	Good 	Good	 	Good Good 	
4066017	Good	Good	Good 	Good 	Good	 	Good Good 	
4066045	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4066053	Good	Good	Good 	Good 	Good	 	Good Good 	
4066054	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4066056	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4066057	Good	Good	Good 	Good 	Good	 	Bad Good 	
4066058	Good	Good	Good 	Good 	Good	 	Bad Good 	
4068004	Good	Good	Good 	Good 	Good	 	Good Good 	
4068009	Good	Good	Good 	Good 	Good	 	Good Good 	
4068024	Good	Good	Good 	Good 	Good	 	Absent Good 	
4070056	Good	Good	Good 	Good 	Good	 	Absent Good 	
4070057	Good	Good	Good 	Good 	Good	 	Absent Good 	
4070058	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072009	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072014	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072040	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072043	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072044	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072054	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072055	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072057	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072058	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072059	Good	Good	Good 	Good 	Good	 	Absent Good 	
4072061	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073005	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073008	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073009	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073012	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073013	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073019	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073053	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073079	Good	Good	Good 	Good 	Good	 	Absent Good 	
4073080	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074004	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074005	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074006	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074015	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074016	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074018	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074019	Good	Good	Good 	Good 	Good	 	Absent Good 	
4074021	Good	Good	Good 	Good 	Good	 	Absent Good 	
