// table produced by Bill Love 232/112/19994 
//  R3452_1_bight2.root  sector 14 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 14093 mean   -179.548 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   5,    816,  293.822,  0.251,  -0.0253,  0.0031,  171.450,  0.159,  -96.286,  0.071, -152.207,  0.223 },
{  20,   2,   5,   1375,  304.909,  0.188,  -0.0221,  0.0018,  171.451,  0.099,  -96.285,  0.069, -152.112,  0.184 },
{  20,   3,   5,   1852,  314.467,  0.253,  -0.0156,  0.0011,  171.517,  0.114,  -96.219,  0.113, -151.954,  0.171 },
{  20,   4,   5,   2151,  330.143,  0.155,  -0.0059,  0.0031,  171.481,  0.158,  -96.223,  0.268, -152.036,  0.409 },
{  20,   5,   5,    318,  349.732,  0.268,   0.0046,  0.0015,  171.380,  0.045,  -96.628,  0.226, -152.049,  0.187 },
{  20,   6,   5,    751,  355.057,  0.268,   0.0087,  0.0037,  171.429,  0.011,  -96.498,  0.123, -152.148,  0.246 },
{  20,   7,   5,   1424,   10.157,  0.241,   0.0169,  0.0017,  171.435,  0.031,  -96.222,  0.164, -152.335,  0.189 },
//     mean xls   171.4654 mean yls   -96.2763 mean zls  -152.1057 

// zrange -125.0 to -115.0  n= 14059 mean   -121.282 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   4,    233,  306.975,  0.183,   0.0240,  0.0017,  172.142,  0.103,  -95.941,  0.077, -121.245,  0.206 },
{  20,   3,   4,   1762,  316.436,  0.291,   0.0310,  0.0009,  172.035,  0.143,  -96.046,  0.147, -121.147,  0.176 },
{  20,   4,   4,   2619,  330.432,  0.227,   0.0329,  0.0043,  172.188,  0.237,  -95.837,  0.432, -121.029,  0.534 },
{  20,   5,   4,   1996,  347.242,  0.109,   0.0290,  0.0004,  172.116,  0.026,  -96.001,  0.113, -121.112,  0.174 },
{  20,   6,   4,   1055,   13.940,  0.377,   0.0272,  0.0018,  172.123,  0.034,  -95.942,  0.134, -121.316,  0.187 },
{  20,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls   172.1239 mean yls   -95.9454 mean zls  -121.1236 

// zrange  -97.0 to  -87.0  n= 2991 mean    -91.533 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   3,      5,  292.789,  0.203,   0.0011,  0.0022,  171.758,  0.152,  -96.640,  0.065,  -91.840,  0.270 },
{  20,   2,   3,    253,  305.755,  0.293,   0.0025,  0.0019,  171.534,  0.186,  -96.753,  0.132,  -91.580,  0.185 },
{  20,   3,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   4,   3,    880,  329.875,  0.336,  -0.0046,  0.0028,  171.618,  0.077,  -96.673,  0.132,  -91.471,  0.230 },
{  20,   5,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
