// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   1,    458,  172.353,  0.220,  -0.0118,  0.0006, -169.826,  0.009, -100.725,  0.070,  -32.097,  0.165 },
{  16,   2,   1,    355,  186.303,  0.293,  -0.0035,  0.0004, -169.816,  0.014, -100.640,  0.136,  -31.748,  0.171 },
{  16,   3,   1,    448,  193.208,  0.130,  -0.0135,  0.0004, -169.671,  0.032, -101.210,  0.113,  -31.819,  0.170 },
{  16,   4,   1,    500,  210.139,  0.128,   0.0019,  0.0004, -169.710,  0.046, -100.832,  0.077,  -31.913,  0.169 },
{  16,   5,   1,    343,  230.794,  0.371,   0.0033,  0.0010, -170.488,  0.206, -100.076,  0.179,  -31.946,  0.187 },
{  16,   6,   1,     78,  234.323,  0.713,   0.0140,  0.0010, -169.280,  0.258, -101.017,  0.177,  -31.840,  0.174 },
{  16,   7,   1,    491,  251.568,  0.114,   0.0191,  0.0006, -169.812,  0.075, -100.654,  0.025,  -32.090,  0.171 },
//     mean xls  -169.8433 mean yls  -100.7273 mean zls   -31.9414 

//  R351027_1g.root  sector 18 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 317 mean   -179.235 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   3,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   6,      1,  272.192, -0.000,   0.0134, -0.0000,    2.837, -0.000, -196.608, -0.000, -179.029, -0.000 },
{  18,   5,   6,    302,  285.710,  0.449,   0.0076,  0.0052,    2.758,  0.117, -196.602,  0.033, -179.272,  0.235 },
{  18,   6,   6,    199,  314.300,  0.490,   0.0066,  0.0068,    2.671,  0.075, -196.669,  0.074, -179.240,  0.273 },
{  18,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7236 mean yls  -196.6287 mean zls  -179.2588 

// zrange -155.0 to -148.0  n= 1052 mean   -151.724 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   5,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   5,    338,  247.153,  0.409,   0.0135,  0.0012,    2.220,  0.169, -196.589,  0.073, -151.677,  0.186 },
{  18,   3,   5,    163,  254.418,  0.207,   0.0031,  0.0005,    2.709,  0.196, -196.730,  0.052, -151.519,  0.168 },
{  18,   4,   5,    435,  271.037,  0.352,   0.0053,  0.0023,    2.257,  0.345, -196.621,  0.010, -151.700,  0.271 },
{  18,   5,   5,    106,  289.916,  0.457,  -0.0024,  0.0011,    1.807,  0.172, -196.789,  0.066, -151.633,  0.160 },
