   P10ep1.DAT, CH4    09:39:55   28-May-03 N2=64
  ASSM64.DAT   09:36:46   28-May-03 df/dE for CH4, N2=64                
   10.000   16.043   .00071576   .00066692 Z, A, rho                    
   8.6000  287.800  200.000   first E, K-shell & sbb                    
   64    8.6422   1.01089 1.08304E-02  N2, E(1), um, u                  
   ( SABRAr2.DAT   08:55:52   27-May-03 )                               
  18.00  39.9480  .001782  .001661 Z, A, rho                            
     10.600     248.50    1100.00 first E, L-shell & sbb                
   64   10.6312   1.01089 1.08304E-02  N2, E(2), um, u                  
     .000     .000     .050 df/dE coefficients                          
    J  E(J)[eV]     ep(2,J)      ep(1,J)      df/dE(J)
  147 4.20100E+01  2.43932E-05 -1.9086E-04  1.88996E-02
  148 4.24670E+01  2.22919E-05 -1.8363E-04  1.74589E-02
  149 4.29300E+01  2.04131E-05 -1.7677E-04  1.61617E-02
  150 4.33970E+01  1.86999E-05 -1.7018E-04  1.49663E-02
  151 4.38700E+01  1.72535E-05 -1.6382E-04  1.39594E-02
  152 4.43470E+01  1.60692E-05 -1.5779E-04  1.31426E-02
  153 4.48300E+01  1.50690E-05 -1.5209E-04  1.24588E-02
  154 4.53180E+01  1.41755E-05 -1.4670E-04  1.18476E-02
  155 4.58120E+01  1.33500E-05 -1.4156E-04  1.12792E-02
  156 4.63110E+01  1.25983E-05 -1.3660E-04  1.07601E-02
  157 4.68150E+01  1.19627E-05 -1.3182E-04  1.03285E-02
  158 4.73250E+01  1.14674E-05 -1.2724E-04  1.00085E-02
  159 4.78400E+01  1.11455E-05 -1.2300E-04  9.83374E-03
  160 4.83610E+01  1.05796E-05 -1.1882E-04  9.43568E-03
  161 4.88880E+01  1.03562E-05 -1.1473E-04  9.33748E-03
  162 4.94200E+01  1.02198E-05 -1.1093E-04  9.31461E-03
  163 4.99580E+01  1.01100E-05 -1.0735E-04  9.31492E-03
  164 5.05020E+01  1.00329E-05 -1.0395E-04  9.34453E-03
  165 5.10520E+01  9.96280E-06 -1.0071E-04  9.38033E-03
  166 5.16080E+01  9.89905E-06 -9.7620E-05  9.42181E-03
  167 5.21700E+01  9.84827E-06 -9.4654E-05  9.47544E-03
  168 5.27380E+01  9.81520E-06 -9.1810E-05  9.54647E-03
  169 5.33120E+01  9.80192E-06 -8.9089E-05  9.63729E-03
  170 5.38930E+01  9.80371E-06 -8.6487E-05  9.74415E-03
  171 5.44800E+01  9.81179E-06 -8.4005E-05  9.85828E-03
  172 5.50730E+01  9.81392E-06 -8.1636E-05  9.96773E-03
  173 5.56730E+01  9.80109E-06 -7.9355E-05  1.00632E-02
  174 5.62790E+01  9.78435E-06 -7.7151E-05  1.01555E-02
  175 5.68920E+01  9.77906E-06 -7.5023E-05  1.02604E-02
  176 5.75110E+01  9.78445E-06 -7.2982E-05  1.03779E-02
  177 5.81380E+01  9.79366E-06 -7.1026E-05  1.05010E-02
  178 5.87710E+01  9.79323E-06 -6.9158E-05  1.06148E-02
  179 5.94110E+01  9.76778E-06 -6.7356E-05  1.07025E-02
  180 6.00580E+01  9.72791E-06 -6.5595E-05  1.07748E-02
  181 6.07120E+01  9.70449E-06 -6.3879E-05  1.08658E-02
  182 6.13730E+01  9.70375E-06 -6.2233E-05  1.09835E-02
  183 6.20410E+01  9.69646E-06 -6.0666E-05  1.10945E-02
  184 6.27170E+01  9.66271E-06 -5.9149E-05  1.11769E-02
  185 6.33990E+01  9.62315E-06 -5.7664E-05  1.12516E-02
  186 6.40900E+01  9.60537E-06 -5.6219E-05  1.13534E-02
  187 6.47880E+01  9.60210E-06 -5.4841E-05  1.14728E-02
  188 6.54930E+01  9.58756E-06 -5.3528E-05  1.15805E-02
  189 6.62060E+01  9.55196E-06 -5.2259E-05  1.16627E-02
  190 6.69270E+01  9.50834E-06 -5.1021E-05  1.17359E-02
  191 6.76560E+01  9.47008E-06 -4.9819E-05  1.18159E-02
  192 6.83930E+01  9.43333E-06 -4.8664E-05  1.18985E-02
  193 6.91380E+01  9.38783E-06 -4.7554E-05  1.19699E-02
  194 6.98900E+01  9.32899E-06 -4.6483E-05  1.20247E-02
  195 7.06520E+01  9.25965E-06 -4.5439E-05  1.20658E-02
  196 7.14210E+01  9.18366E-06 -4.4426E-05  1.20967E-02
  197 7.21990E+01  9.10091E-06 -4.3441E-05  1.21183E-02
  198 7.29850E+01  9.00995E-06 -4.2483E-05  1.21278E-02
  199 7.37800E+01  8.91057E-06 -4.1547E-05  1.21249E-02
  200 7.45830E+01  8.80767E-06 -4.0629E-05  1.21149E-02
  201 7.53950E+01  8.70748E-06 -3.9731E-05  1.21078E-02
  202 7.62160E+01  8.61186E-06 -3.8858E-05  1.21050E-02
  203 7.70460E+01  8.51658E-06 -3.8013E-05  1.21013E-02
  204 7.78850E+01  8.41651E-06 -3.7196E-05  1.20893E-02
  205 7.87330E+01  8.30940E-06 -3.6401E-05  1.20655E-02
  206 7.95900E+01  8.19571E-06 -3.5625E-05  1.20298E-02
  207 8.04570E+01  8.07656E-06 -3.4865E-05  1.19847E-02
  208 8.13330E+01  7.95417E-06 -3.4119E-05  1.19310E-02
  209 8.22190E+01  7.83205E-06 -3.3386E-05  1.18761E-02
  210 8.31140E+01  7.71405E-06 -3.2667E-05  1.18245E-02
  211 8.40190E+01  7.60004E-06 -3.1968E-05  1.17767E-02
  212 8.49340E+01  7.48692E-06 -3.1289E-05  1.17277E-02
  213 8.58590E+01  7.37155E-06 -3.0629E-05  1.16726E-02
  214 8.67940E+01  7.25217E-06 -2.9986E-05  1.16087E-02
  215 8.77390E+01  7.12890E-06 -2.9358E-05  1.15354E-02
  216 8.86950E+01  7.00236E-06 -2.8740E-05  1.14537E-02
  217 8.96600E+01  6.87370E-06 -2.8134E-05  1.13661E-02
  218 9.06370E+01  6.74490E-06 -2.7536E-05  1.12742E-02
  219 9.16240E+01  6.61871E-06 -2.6948E-05  1.11842E-02
  220 9.26210E+01  6.49725E-06 -2.6372E-05  1.10987E-02
  221 9.36300E+01  6.37944E-06 -2.5809E-05  1.10162E-02
  222 9.46500E+01  6.26291E-06 -2.5260E-05  1.09324E-02
  223 9.56800E+01  6.14526E-06 -2.4726E-05  1.08437E-02
  224 9.67220E+01  6.02503E-06 -2.4203E-05  1.07477E-02
  225 9.77750E+01  5.90382E-06 -2.3688E-05  1.06458E-02
  226 9.88400E+01  5.78281E-06 -2.3180E-05  1.05412E-02
  227 9.99160E+01  5.66371E-06 -2.2679E-05  1.04366E-02
  228 1.01004E+02  5.54793E-06 -2.2186E-05  1.03342E-02
  229 1.02104E+02  5.43701E-06 -2.1700E-05  1.02383E-02
  230 1.03216E+02  5.33248E-06 -2.1224E-05  1.01506E-02
  231 1.04340E+02  5.23504E-06 -2.0760E-05  1.00737E-02
  232 1.05476E+02  5.14239E-06 -2.0311E-05  1.00028E-02
  233 1.06625E+02  5.05018E-06 -1.9878E-05  9.93069E-03
  234 1.07786E+02  4.95481E-06 -1.9460E-05  9.84903E-03
  235 1.08960E+02  4.85304E-06 -1.9051E-05  9.75166E-03
  236 1.10146E+02  4.74702E-06 -1.8647E-05  9.64275E-03
  237 1.11345E+02  4.64006E-06 -1.8245E-05  9.52808E-03
  238 1.12558E+02  4.53556E-06 -1.7847E-05  9.41499E-03
  239 1.13784E+02  4.43668E-06 -1.7453E-05  9.31019E-03
  240 1.15023E+02  4.34300E-06 -1.7069E-05  9.21287E-03
  241 1.16275E+02  4.25251E-06 -1.6695E-05  9.11910E-03
  242 1.17541E+02  4.16276E-06 -1.6331E-05  9.02375E-03
  243 1.18821E+02  4.07131E-06 -1.5976E-05  8.92178E-03
  244 1.20115E+02  3.97790E-06 -1.5627E-05  8.81203E-03
  245 1.21423E+02  3.88391E-06 -1.5282E-05  8.69744E-03
  246 1.22745E+02  3.79207E-06 -1.4941E-05  8.58410E-03
  247 1.24082E+02  3.70187E-06 -1.4606E-05  8.47135E-03
  248 1.25433E+02  3.61137E-06 -1.4278E-05  8.35415E-03
  249 1.26799E+02  3.52052E-06 -1.3952E-05  8.23260E-03
  250 1.28180E+02  3.43070E-06 -1.3629E-05  8.11012E-03
  251 1.29575E+02  3.34389E-06 -1.3309E-05  7.99079E-03
  252 1.30986E+02  3.25960E-06 -1.2992E-05  7.87430E-03
  253 1.32413E+02  3.17817E-06 -1.2677E-05  7.76132E-03
  254 1.33855E+02  3.09605E-06 -1.2363E-05  7.64286E-03
  255 1.35312E+02  3.01896E-06 -1.2048E-05  7.53399E-03
  256 1.36786E+02  2.91754E-06 -1.1650E-05  7.35967E-03
  257 1.38275E+02  3.08151E-06 -1.1366E-05  7.85869E-03
  258 1.39781E+02  3.02805E-06 -1.1216E-05  7.80581E-03
