# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
3.96	13.010571	34.83954	0.025190032
3.98	12.63624	35.353522	0.025081494
4	12.233531	35.94174	0.024934123
4.02	11.827725	36.6095	0.024733632
4.04	11.341924	37.33392	0.024522089
4.06	10.775596	38.13192	0.024285422
4.08	10.117216	39.01317	0.024017187
4.1	9.367959	39.94916	0.02372709
4.12	8.424748	40.958064	0.023424159
4.14	7.316385	42.031592	0.023091944
4.16	5.978304	43.15059	0.0227382
4.18	4.343081	44.27136	0.022372655
4.2	2.372223	45.350864	0.021990128
4.22	-0.067319	46.24332	0.021624699
4.24	-2.93E+00	46.756908	0.021303472
4.26	-6.13E+00	46.6799	0.021059407
4.28	-9.46E+00	45.779436	0.020950126
4.3	-1.24E+01	44.08794	0.021016573
4.32	-1.48E+01	41.869422	0.021241222
4.34	-1.63E+01	39.50158	0.021619226
4.36	-1.75E+01	37.291632	0.021998661
4.38	-1.82E+01	35.267074	0.022383196
4.4	-1.88E+01	33.34656	0.022741455
4.42	-1.93E+01	31.548192	0.02307326
4.44	-1.96E+01	29.786162	0.023420959
4.46	-1.98E+01	28.1124	0.023766873
4.48	-1.99E+01	26.481312	0.024145445
4.5	-1.98E+01	24.911964	0.024582278
4.52	-1.96E+01	23.441458	0.025065713
4.54	-1.93E+01	22.040644	0.02562955
4.56	-1.89E+01	20.75372	0.026297728
4.58	-1.85E+01	19.618152	0.027040731
4.6	-1.79E+01	18.599728	0.027865178
4.62	-1.74E+01	17.68986	0.028805254
4.64	-1.68E+01	16.888488	0.029775313
4.66	-1.62E+01	16.208012	0.030793978
4.68	-1.57E+01	15.6078	0.03183829
4.7	-1.52E+01	15.092784	0.032916612
4.72	-1.47E+01	14.629014	0.033977532
4.74	-1.43E+01	14.214474	0.035014049
4.76	-1.38E+01	13.833792	0.036103981
4.78	-1.35E+01	13.487726	0.037174487
4.8	-1.31E+01	13.194364	0.03821478
4.82	-1.27E+01	12.907408	0.039274343
4.84	-1.24E+01	12.64104	0.040312689
4.86	-1.21E+01	12.41006	0.041344708
4.88	-1.18E+01	12.185424	0.042452357
4.9	-1.15E+01	11.974306	0.043426132
4.92	-1.12E+01	11.802038	0.044486016
4.94	-1.10E+01	11.62656	0.045541654
4.96	-1.07E+01	11.47712	0.046634519
4.98	-1.05E+01	11.3337	0.047626884
5	-1.02E+01	11.1941	0.048616296
5.02	-1.00E+01	11.086554	0.04964455
5.04	-9.82E+00	10.988544	0.050599148
5.06	-9.63E+00	10.910826	0.051529347
5.08	-9.44E+00	10.83614	0.052444644
5.1	-9.29E+00	10.773918	0.05323571
5.12	-9.14E+00	10.721568	0.054014546
5.14	-8.99E+00	10.702462	0.054772013
5.16	-8.89E+00	10.681664	0.055284459
5.18	-8.79E+00	10.667436	0.055810948
5.2	-8.72E+00	10.659012	0.056180015
5.22	-8.67E+00	10.656848	0.056474579
5.24	-8.65E+00	10.640608	0.056579931
5.26	-8.65E+00	10.63392	0.056570609
5.28	-8.68E+00	10.60682	0.056446984
5.3	-8.75E+00	10.588774	0.056122189
5.32	-8.82E+00	10.517256	0.055802673
5.34	-8.92E+00	10.414944	0.055386594
5.36	-9.01E+00	10.279136	0.054990309
5.38	-9.09E+00	10.117472	0.054705467
5.4	-9.17E+00	9.902772	0.054386165
5.42	-9.19E+00	9.70751	0.054298293
5.44	-9.22E+00	9.4872	0.054222413
5.46	-9.19E+00	9.261852	0.054427434
5.48	-9.16E+00	9.040956	0.054576155
5.5	-9.11E+00	8.84936	0.054876477
5.52	-9.05E+00	8.66583	0.055187367
5.54	-8.99E+00	8.487666	0.055552403
5.56	-8.89E+00	8.3072	0.05610298
5.58	-8.82E+00	8.16684	0.056523625
5.6	-8.72E+00	7.995764	0.057100193
5.62	-8.65E+00	7.8793	0.057546319
5.64	-8.55E+00	7.745036	0.058200219
5.66	-8.46E+00	7.6293	0.058818224
5.68	-8.40E+00	7.49265	0.059135461
5.7	-8.29E+00	7.34432	0.059856549
5.72	-8.24E+00	7.2897	0.060212289
5.74	-8.17E+00	7.184208	0.060709614
5.76	-8.11E+00	7.09863	0.061115342
5.78	-8.07E+00	6.972958	0.061281451
5.8	-7.988336	6.89997	0.061925849
5.82	-7.898464	6.76995	0.062558472
5.84	-7.860344	6.68727	0.062788563
5.86	-7.815621	6.62302	0.063107439
5.88	-7.738425	6.499712	0.06364188
5.9	-7.719435	6.459012	0.063755866
5.92	-7.634469	6.34082	0.064379614
5.94	-7.489613	6.261684	0.065702913
5.96	-7.57302	6.158848	0.064638078
5.98	-7.499888	6.066816	0.065196321
6	-7.442181	5.87618	0.065352211
#			
6.25	-7.415076	5.59504	0.064841593
6.5	-6.735491	4.62462	0.069278598
6.75	-6.084864	3.90096	0.074669441
7	-5.537376	3.3418	0.079889725
7.25	-5.000476	2.86752	0.08629978
7.5	-4.567131	2.48846	0.09199102
7.75	-4.142711	2.1714	0.099254778
8	-3.771516	1.912	0.106934663
8.25	-3.412864	1.6872	0.116404504
8.5	-3.141004	1.50696	0.124164171
8.75	-2.841579	1.34594	0.136144334
